"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
200 275 1 0.159105624658186 0.468220463008011 0.628830992010992 -0.0854270660829915 FALSE ""
600 68 2 0.177351849667617 0.512919887817675 0.248238821665741 0.600406784955897 FALSE ""
200 460 3 0.275736434273124 0.246664811390335 0.491672971825653 0.43405204707324 FALSE ""
1400 333 4 0.137208983835488 0.488158903509721 0.260811444144645 0.449712013137556 FALSE ""
1000 46 5 0.186347852716884 0.372337038246979 0.234235409275392 0.483995494284544 FALSE ""
1400 271 6 0.250453727767741 0.32776233290919 0.212128899488123 0.618987219611024 FALSE ""
1400 766 7 0.176130988958549 0.475215006067811 0.271936666426033 0.477353371259599 FALSE ""
200 233 8 0.0621119347837448 0.56139594745104 0.501340748240822 0.0360726908508162 FALSE ""
1000 280 9 0.252243174800638 0.405706298794317 0.422781437780926 0.382118493957621 FALSE ""
1000 789 10 0.21774430830685 0.315548585203432 0.391460506150543 0.129410725186032 FALSE ""
1400 615 11 0.217756306622621 0.318890009677519 0.310134165706243 0.25726634342164 FALSE ""
1000 204 12 0.213886080864199 0.384894322125702 0.292555891468354 0.533012212001732 FALSE ""
200 737 13 -0.127535554745953 0.704070778180086 -0.00454444317328971 0.602782054507734 FALSE ""
200 559 14 0.427050953719369 0.123725367628966 0.338802061436143 0.345412418195102 FALSE ""
200 797 15 0.211685341712543 0.389367529782916 0.445728739929574 0.128414118948341 FALSE ""
1400 317 16 0.232511504164094 0.361376689285343 0.279171495777749 0.413342470381051 FALSE ""
200 325 17 0.215669953015204 0.246031606213414 0.181926555378632 0.763350230914537 FALSE ""
200 361 18 0.134096757943864 0.304993023452986 0.39090549164749 0.0377413163388602 FALSE ""
1000 424 19 0.15207979785742 0.480908404222952 0.178384480027006 0.458100224728624 FALSE ""
200 768 20 0.188610850888582 0.515381267113122 0.15634333905847 0.645859983273225 FALSE ""
1000 495 21 0.137084619959519 0.415276720117207 0.237060407525038 0.424519227110452 FALSE ""
600 191 22 0.184345955723046 0.456128069220736 0.271797769781243 0.374394550619421 FALSE ""
1400 721 23 0.234532671834355 0.359017026220939 0.279498030286254 0.495007098997977 FALSE ""
1400 789 24 0.189735431625001 0.404795077905527 0.343516749235745 0.351428110596075 FALSE ""
200 313 25 0.147442301803249 0.468385160961307 0.247113681712142 0.549355291053904 FALSE ""
600 420 26 0.157770878338781 0.405966235946168 0.221724024126128 0.338282167097433 FALSE ""
1000 281 27 0.30247286927834 0.325893927724464 0.372612496739839 0.397336716501334 FALSE ""
200 224 28 0.366044205410524 0.150257993679448 0.252398111913377 0.721867316618648 FALSE ""
200 258 29 0.150911072876617 0.446158260712175 0.31615477868479 0.0318272157204769 FALSE ""
600 737 30 0.239821481670691 0.27882395563187 0.397715187908718 0.148108257978863 FALSE ""
1000 659 31 0.318105295358428 0.239014916682244 0.264134355614697 0.416836862430983 FALSE ""
1000 215 32 0.255304419273332 0.31761837216515 0.268577248780229 0.519870135561967 FALSE ""
200 917 33 0.120929974187244 0.581825251311374 0.204520127895719 0.664807224867121 FALSE ""
1000 861 34 0.153509144219142 0.521505479933368 0.23246064041188 0.627116039373959 FALSE ""
200 528 35 0.164539101702768 0.568624593319145 0.320897070735268 0.352760274228222 FALSE ""
1400 189 36 0.177688191722329 0.431371191866195 0.265085742539402 0.485647856100846 FALSE ""
1000 229 37 0.149923719276842 0.414331720837895 0.283532910170427 0.404157265161607 FALSE ""
600 844 38 0.348739952570205 0.237009060882001 0.380196376798935 0.385798246280778 FALSE ""
1000 565 39 0.283346922868243 0.263523213240772 0.290174490768313 0.552288569260627 FALSE ""
200 291 40 0.170302375013449 0.341366129351322 0.257903093067193 0.253109321041457 FALSE ""
600 278 41 0.1943428978685 0.519841247339291 0.486505949863858 0.181767979219981 FALSE ""
1000 40 42 0.22989543955629 0.431088251722962 0.348777029194788 0.443847517128376 FALSE ""
600 994 43 0.192083073611769 0.341941239716276 0.395005501283278 0.230020354052123 FALSE ""
1000 103 44 0.231114752727418 0.369351772818713 0.422411637768184 0.136313328774622 FALSE ""
600 803 45 0.132123706193476 0.526909673248451 0.131502733905349 0.733354892100722 FALSE ""
600 369 46 0.188031699832816 0.402353060228379 0.416143187617669 0.120675109584182 FALSE ""
600 363 47 0.292294357120367 0.304050371479889 0.339602125091136 0.499184312687418 FALSE ""
200 185 48 0.191976690624533 0.438581977058431 0.498756170477841 0.117263190579103 FALSE ""
1000 388 49 0.230787909438418 0.388533270094163 0.166625601391303 0.694035614338181 FALSE ""
200 416 50 0.332411395353401 0.334359161968031 0.237053297720151 0.71822546666634 FALSE ""
600 286 51 0.0537919985157211 0.564468695101583 0.33013906787868 0.2203151810165 FALSE ""
600 600 52 0.32184282951198 0.154633260418796 0.283454191227994 0.501625927274995 FALSE ""
1000 357 53 0.182070798429281 0.477941032592541 0.450399635406999 0.271010570224847 FALSE ""
600 148 54 0.188940769625429 0.430500639565806 0.276540872696591 0.440725118266304 FALSE ""
600 113 55 0.209323481422322 0.405019704307036 0.458539959848334 0.110000562857298 FALSE ""
1400 708 56 0.190236766847721 0.463233658072398 0.376753710342485 0.271947358140115 FALSE ""
1000 326 57 0.131439291623745 0.481031367485885 0.230553143853466 0.563707853585931 FALSE ""
600 670 58 0.117324063678556 0.549681436234104 0.362870794558812 0.464579961355824 FALSE ""
1400 858 59 0.226244052276368 0.340222520619972 0.320154774038994 0.409906738524029 FALSE ""
1400 569 60 0.220265448493628 0.332134847753793 0.253976563820789 0.389792505467425 FALSE ""
600 100 61 0.181066079208196 0.436400558406278 0.276243241874448 0.476490733988483 FALSE ""
1000 943 62 0.194724243138193 0.432426054557177 0.310354131202404 0.342106363249128 FALSE ""
1400 947 63 0.137401706220007 0.461555096648624 0.206161584843091 0.50517690579206 FALSE ""
1000 701 64 0.236877304871659 0.325293317849359 0.321642396149805 0.475977128665106 FALSE ""
200 997 65 0.296908654853322 0.352512981035279 0.340795007941219 0.553072479768792 FALSE ""
1400 468 66 0.199019406028728 0.344857537489258 0.139686503428743 0.517137658790892 FALSE ""
1400 611 67 0.217366255089693 0.393172451027493 0.301224184230988 0.435674825580665 FALSE ""
600 342 68 0.145980819821394 0.513244382687388 0.262161758806706 0.503651061346323 FALSE ""
1400 744 69 0.16707493769555 0.46537733773807 0.203017071048731 0.491619860373531 FALSE ""
600 677 70 0.289232268277499 0.21499792537702 0.207233994512547 0.693210465936356 FALSE ""
1000 484 71 0.159017142564311 0.520787088683696 0.425776352214227 0.311515422971456 FALSE ""
