"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
1400 649 1 0.545929178505603 0.484909949292709 0.367564009211108 0.502701701638277 FALSE ""
1000 935 2 0.471732856928367 0.359515533301961 0.233132123257386 0.506527110243305 FALSE ""
600 45 3 0.538715347706855 0.424850106397401 0.346132360395849 0.519865574160749 FALSE ""
1400 124 4 0.45223669716864 0.519875911193012 0.258532809088823 0.567253625993644 FALSE ""
1400 102 5 0.438083995996331 0.369147398547417 0.23139034316463 0.54459729626655 FALSE ""
1000 47 6 0.405153204172651 0.581436205025489 0.284531145782883 0.470137748564448 FALSE ""
600 332 7 0.659440234844711 0.198589164264212 0.353309556163234 0.497109814950665 FALSE ""
1000 907 8 0.637992889819365 0.274796960920196 0.344799136456422 0.493829808177776 FALSE ""
1000 660 9 0.50290110668804 0.386948640844835 0.337468494934607 0.47787811818181 FALSE ""
600 921 10 0.559154584465453 0.376741580568164 0.26121613986009 0.616558774727974 FALSE ""
1400 923 11 0.559534623331155 0.405957175867743 0.445682320696917 0.390811268289167 FALSE ""
600 333 12 0.592771790735172 0.450858645213071 0.43640107742331 0.518956041522426 FALSE ""
200 103 13 0.619457582031189 0.298422821111598 0.477069609880196 0.305879057971351 FALSE ""
200 453 14 0.504418433420152 0.566955296232205 0.284985302226785 0.546668677616107 FALSE ""
1000 255 15 0.558789439866296 0.388575378108695 0.417406771743642 0.408412959372716 FALSE ""
1400 922 16 0.482511757650763 0.445739480569648 0.29609350995247 0.541501699305984 FALSE ""
600 893 17 0.505794950067491 0.424229073084463 0.378878251805585 0.454704649207543 FALSE ""
1400 749 18 0.586973988796653 0.407961325339266 0.361011130195035 0.490646728596459 FALSE ""
600 804 19 0.567644098391637 0.345260349683818 0.394740300762184 0.443252973352181 FALSE ""
1400 117 20 0.497663606731889 0.462414864792708 0.33861666643476 0.455695602790027 FALSE ""
1000 837 21 0.478125044517143 0.486233229445807 0.472973793906006 0.249526370295936 FALSE ""
600 691 22 0.554813930116971 0.593313103228442 0.493339622726867 0.330849184374308 FALSE ""
200 485 23 0.361484738474826 0.55895547692424 0.179708443561323 0.514340936712052 FALSE ""
1000 83 24 0.540172163987648 0.388900807005952 0.233972169949624 0.659618343421411 FALSE ""
200 905 25 0.620243466062197 0.358405167840633 0.55917187047671 0.267807377554935 FALSE ""
200 179 26 0.532090971568495 0.359599946890349 0.263350770855233 0.508812259042486 FALSE ""
1400 738 27 0.552144905875676 0.435541929591578 0.389407144798768 0.505851584417968 FALSE ""
1000 40 28 0.611296539173072 0.278119735571037 0.27705191029841 0.604386265520699 FALSE ""
1400 959 29 0.500965739122885 0.40458949025844 0.298567022713232 0.503361626923886 FALSE ""
600 174 30 0.589286954592083 0.38496975681303 0.297900300255009 0.647906767097594 FALSE ""
1400 989 31 0.531216339169567 0.309012868158852 0.266567833313335 0.522244694055692 FALSE ""
1000 936 32 0.527355972391063 0.41031906900576 0.339615189123384 0.424309871374669 FALSE ""
600 610 33 0.535337962686789 0.481345505038594 0.375786415240562 0.396746727288896 FALSE ""
1000 395 34 0.474735191794435 0.413548635708511 0.327316906100426 0.482608378204649 FALSE ""
1400 785 35 0.556884596092522 0.376822393084356 0.344927317803333 0.522011567762183 FALSE ""
1000 476 36 0.522982884782395 0.372100689520114 0.248421207256812 0.638448507230305 FALSE ""
1400 266 37 0.559435543256513 0.357443057960368 0.320079095838627 0.524796663165281 FALSE ""
600 267 38 0.376346728659167 0.637714532899289 0.280183448070842 0.515351008526369 FALSE ""
200 626 39 0.42176375671128 0.575593732637707 0.237334809815818 0.594903211163736 FALSE ""
200 826 40 0.420089020811148 0.530856823850247 0.266717065163783 0.428556551433816 FALSE ""
1400 74 41 0.588032906674017 0.375211329730987 0.420604084804319 0.412170219089159 FALSE ""
1000 197 42 0.466656352607859 0.33810319628475 0.257474001774611 0.459866710409802 FALSE ""
600 548 43 0.385496127034529 0.593498575480709 0.370224000844846 0.404852097696156 FALSE ""
200 555 44 0.468148978383088 0.3096323193347 0.341520241384763 0.391760857264569 FALSE ""
1400 425 45 0.554207381853692 0.382941055463977 0.383036899372228 0.443405832173999 FALSE ""
600 653 46 0.662640217321848 0.360360658846838 0.437800628185037 0.437675334444546 FALSE ""
600 954 47 0.650831017378663 0.278278796119307 0.38108769212792 0.529859387064587 FALSE ""
1400 462 48 0.497163867898125 0.355264609524498 0.308880814504284 0.437302728733801 FALSE ""
1400 132 49 0.498127013041686 0.390909761974123 0.342324001784849 0.474142933262723 FALSE ""
1000 184 50 0.567734953036565 0.394126883611222 0.299517307717518 0.508355452785274 FALSE ""
1400 108 51 0.523399967284523 0.410254945151958 0.346424022981135 0.450621797327861 FALSE ""
1400 308 52 0.508383514160057 0.445093697027066 0.385603126085822 0.375227327970706 FALSE ""
200 572 53 0.635391314045965 0.378194029014851 0.533688455167102 0.333262955724821 FALSE ""
600 283 54 0.363395686238822 0.520485434246471 0.274054880259596 0.438789332011804 FALSE ""
1400 616 55 0.509201940266093 0.350606503441793 0.328595051052112 0.459491833101857 FALSE ""
200 122 56 0.248791517893442 0.910964052356332 0.175103300613866 0.627145271032223 FALSE ""
1000 965 57 0.429639479558495 0.373877465804905 0.220207594469244 0.557917229305803 FALSE ""
200 612 58 0.454967251415317 0.480973967187838 0.310100899311045 0.431120090299056 FALSE ""
1400 484 59 0.482994068220026 0.422265860564857 0.247059731857254 0.552330760692923 FALSE ""
200 50 60 0.522683483984476 0.559871479752999 0.42101876387492 0.365581224285127 FALSE ""
