"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
1400 1 1 731 1 0.992321943731531 1.02279053432068 FALSE ""
1400 2 1 94 2 1.9694807953116 0.975710432642518 FALSE ""
200 1 0.1 612 3 1.01313475830641 0.0965352111403718 FALSE ""
200 1 1 641 4 0.950191769978539 0.925828109133009 FALSE ""
200 2 0.1 754 5 1.98613896258724 0.103053076496968 FALSE ""
1400 1 1 244 6 0.993407541036484 0.974512855568746 FALSE ""
200 1 1 477 7 1.08664498747517 1.06167758869819 FALSE ""
600 1 0.1 370 8 0.995151228038593 0.0988459586955279 FALSE ""
1400 2 0.1 751 9 1.99576427544908 0.101901758842861 FALSE ""
600 2 0.1 424 10 1.99094299948604 0.101358195922607 FALSE ""
1400 1 0.1 173 11 1.00064970157401 0.0994174240428522 FALSE ""
1000 1 0.1 934 12 1.00451889855042 0.0956372112895945 FALSE ""
200 2 1 856 13 1.84160591734851 1.01756464096747 FALSE ""
1400 1 0.1 502 14 0.998365407267719 0.104168145962725 FALSE ""
600 1 1 762 15 0.979218556582531 0.997481036082666 FALSE ""
200 2 1 565 16 1.88945371504022 0.986319735278374 FALSE ""
1400 2 1 260 17 2.00082249568051 0.960845280166664 FALSE ""
600 1 1 680 18 0.992528203601954 1.01491330211764 FALSE ""
600 2 1 330 19 1.98075737002295 1.01228817400355 FALSE ""
1400 1 0.1 978 20 0.999605128216469 0.100940536924205 FALSE ""
200 2 1 145 21 1.92265480990873 0.936316388873102 FALSE ""
1400 2 0.1 197 22 2.00640747745207 0.101596656742441 FALSE ""
600 1 1 560 23 1.02124503760811 1.0348535184864 FALSE ""
1400 2 1 349 24 1.98656081220846 1.01892093920109 FALSE ""
200 1 0.1 569 25 0.995242623608354 0.104576668957903 FALSE ""
600 2 0.1 322 26 2.00975863050766 0.0993196427384723 FALSE ""
200 2 1 248 27 2.1243532678601 0.941530256252148 FALSE ""
1400 1 1 524 28 0.998226839270475 1.00375731909133 FALSE ""
1000 1 0.1 108 29 0.998488815996416 0.104530136254843 FALSE ""
1000 2 1 434 30 2.01461271506846 1.04384990388368 FALSE ""
200 1 0.1 932 31 0.998466958392091 0.093887906116313 FALSE ""
600 1 1 605 32 0.962335271240995 0.98914896031261 FALSE ""
600 1 1 326 33 1.02436824568202 0.99303301102128 FALSE ""
600 2 0.1 26 34 2.0100241103248 0.0962450197172098 FALSE ""
200 2 1 680 35 1.85290590385775 0.910723598027812 FALSE ""
1000 1 1 866 36 1.05937330352322 1.01196190041767 FALSE ""
600 2 0.1 171 37 1.99959158041792 0.0992297852502865 FALSE ""
200 2 0.1 922 38 1.98307473270279 0.0965708258494364 FALSE ""
200 2 0.1 356 39 2.02177002184246 0.0982345939305429 FALSE ""
1000 1 0.1 818 40 0.99898869560602 0.101168671357011 FALSE ""
1000 2 0.1 559 41 1.99745018310369 0.100606573335914 FALSE ""
1400 2 1 152 42 1.97183201386067 0.99915452594291 FALSE ""
1400 1 1 280 43 1.02610301595963 1.01745291523946 FALSE ""
1400 1 1 1000 44 1.02608986901652 1.00550616140588 FALSE ""
1000 2 1 750 45 1.86053508295364 0.998660191561285 FALSE ""
600 1 1 351 46 0.996830678766691 1.01887053323484 FALSE ""
1400 2 0.1 887 47 1.99918693709297 0.101220538809468 FALSE ""
1000 1 0.1 65 48 1.00740890878685 0.0982110835260731 FALSE ""
1400 2 1 865 49 2.04039127470892 1.01824337878587 FALSE ""
1000 1 1 327 50 0.995182246506743 0.976361424741081 FALSE ""
1000 1 0.1 366 51 1.00391964473856 0.10060044870412 FALSE ""
1400 2 1 881 52 1.98381400401578 0.991230587853103 FALSE ""
1000 1 1 644 53 1.00201496767862 1.02313751243041 FALSE ""
600 2 0.1 310 54 1.99209385124216 0.105578857860277 FALSE ""
600 2 1 897 55 2.11874336267773 1.01050365263919 FALSE ""
600 1 0.1 946 56 1.00018646557633 0.0995475785301847 FALSE ""
1000 1 0.1 658 57 0.998799849141414 0.101972906380512 FALSE ""
600 2 1 773 58 2.00235400348822 1.02831095547011 FALSE ""
200 2 0.1 988 59 1.98881830286695 0.0902906442754602 FALSE ""
1400 1 0.1 667 60 1.00199156423308 0.10020526834212 FALSE ""
1000 1 1 969 61 0.953090557474481 0.959861169195816 FALSE ""
200 1 1 407 62 0.956367872716002 0.976066909169093 FALSE ""
1000 1 0.1 66 63 0.997739125641706 0.0996289210323616 FALSE ""
1000 1 1 978 64 0.981495955243287 1.00752658900198 FALSE ""
600 2 0.1 964 65 2.00714123987848 0.0992907682419463 FALSE ""
200 1 0.1 960 66 1.00083611309558 0.104487762366126 FALSE ""
200 2 0.1 713 67 2.00509960326842 0.0876024559019044 FALSE ""
600 1 0.1 955 68 0.994370150385634 0.0957305172072074 FALSE ""
600 1 1 495 69 0.955102507032317 1.01731359711276 FALSE ""
1400 2 1 340 70 2.04516571915357 1.03701835749583 FALSE ""
600 1 1 363 71 0.990532363066086 0.993434929492825 FALSE ""
