"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
200 804 1 1.02209368580353 0.997085262554724 -1.14465747027335 0.862404070793904 FALSE ""
1000 482 2 0.953743012628528 1.20493447885047 -1.21189766464982 0.988175357953121 FALSE ""
200 930 3 1.10888567690661 1.08672039114812 -1.27108647398701 1.07592418601113 FALSE ""
1000 616 4 0.942149467324789 1.24312598413865 -1.20848852052691 1.00929711039145 FALSE ""
200 624 5 1.07124860486577 1.09962229198102 -1.17449314602579 0.940957935525583 FALSE ""
1400 817 6 1.0510444136655 1.24977046484291 -1.15812605449912 0.976116890308963 FALSE ""
200 875 7 0.884036348543165 1.09597307672941 -1.24994545216759 1.01868814420825 FALSE ""
200 307 8 0.704297028437708 1.66024023970593 -1.26151684902382 1.02077747745537 FALSE ""
1400 961 9 1.0097008009706 1.16703525340071 -1.19210866780835 0.984128492041698 FALSE ""
200 531 10 0.924760635676932 1.355494513112 -1.26998427592534 1.1755877496805 FALSE ""
1400 554 11 0.992281549614297 1.23020191685749 -1.17672162500902 0.957042417294323 FALSE ""
1000 539 12 0.986285492352801 1.27019506635347 -1.17495612776953 0.977993002888557 FALSE ""
1400 449 13 0.951063607279252 1.26592856049174 -1.22282417121639 1.04479025358809 FALSE ""
200 917 14 0.914231041339309 1.2872382652463 -1.17384473440243 0.95928881048182 FALSE ""
200 388 15 1.19654426819158 1.05874466154071 -1.19060338636882 0.948814308237533 FALSE ""
1400 175 16 1.04471504034284 1.22328239665574 -1.17289479668723 0.99491423119914 FALSE ""
600 335 17 1.00654574543444 1.26475468537413 -1.16902952642738 0.997260936772685 FALSE ""
200 232 18 1.08873012995415 1.15292646639699 -1.20657607493895 1.1361189155835 FALSE ""
1400 249 19 0.991894044353073 1.06923321857026 -1.21616728250836 0.987354182703908 FALSE ""
1400 497 20 0.96330996682294 1.2516890310849 -1.19513816634328 0.977846921110332 FALSE ""
600 5 21 0.935293601275825 1.15078163554344 -1.22592938258561 0.96818741797191 FALSE ""
600 934 22 0.795006758087968 1.56675492863548 -1.22456646793743 1.04202247076417 FALSE ""
600 43 23 0.97926712232813 1.18629938515393 -1.22238016865606 1.01124398963558 FALSE ""
200 965 24 0.970764349103373 1.22233608968477 -1.26450700818393 1.01065696352196 FALSE ""
600 130 25 0.968178645831861 1.18118472737586 -1.22401846243495 1.02212516934604 FALSE ""
1400 219 26 1.00550982406811 1.26526199434359 -1.1870581184745 1.01828051993664 FALSE ""
200 135 27 0.807566773418774 1.27006864609892 -1.25893824241271 1.01115179448662 FALSE ""
600 468 28 1.01645532410928 1.14409635926683 -1.23462858110854 1.05232482925069 FALSE ""
1000 487 29 0.824274900625792 1.30900344032708 -1.27709812870911 1.07547708559155 FALSE ""
200 154 30 0.927678629231559 1.15875829636659 -1.27146843842178 1.03467585299626 FALSE ""
600 212 31 1.01330002930846 1.20321218218685 -1.20079456028114 0.945613174968499 FALSE ""
1000 596 32 1.01143977941165 1.23413992708527 -1.17899268315277 0.999749317539867 FALSE ""
200 583 33 0.741634453337249 1.11015445429775 -1.26645242569113 1.00112923646157 FALSE ""
1000 615 34 1.09421724140997 1.24148985328471 -1.16443332112249 0.988523703097979 FALSE ""
600 516 35 0.806667164244723 1.44289393424034 -1.25127643576436 0.993831665064167 FALSE ""
1000 591 36 1.00800606711231 1.15058860233812 -1.24522708601988 1.07106468208087 FALSE ""
1400 985 37 1.011064161805 1.21182008676852 -1.19065345533851 0.98418969436257 FALSE ""
1400 884 38 1.00108310850856 1.13828189282523 -1.22612632233163 1.02536392023635 FALSE ""
600 361 39 1.08956160327413 0.999080402524413 -1.19568310908156 1.0080082493905 FALSE ""
200 552 40 1.15943634893755 0.905893928611142 -1.18586644413448 1.05213615237124 FALSE ""
1000 895 41 1.0593620048189 0.99969124766561 -1.23389742843762 1.02930581171235 FALSE ""
1400 383 42 1.0317212324272 1.12193837123261 -1.22640031062486 1.05257657879877 FALSE ""
200 79 43 0.840237216824122 1.13144679307149 -1.30636420920942 1.11879813636389 FALSE ""
600 790 44 1.03127140320288 1.28049951676223 -1.18921386223248 0.98612823638789 FALSE ""
200 916 45 0.769928131779693 1.33851735150751 -1.21365844688844 0.9309992032524 FALSE ""
1000 799 46 0.897442647736833 1.27931059710306 -1.20317592931877 1.02827862212083 FALSE ""
1000 254 47 1.06380140942269 1.23992987330172 -1.15652780247131 0.942949439442357 FALSE ""
200 317 48 0.985264265955029 1.16625586017935 -1.18997670029408 0.957228534168319 FALSE ""
