"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
1400 598 1 0.273049105864125 0.274803236038912 0.286916150394466 0.445932144337989 FALSE ""
200 254 2 0.19687595692825 0.506651432042482 0.31636777765923 0.341154850253929 FALSE ""
1000 270 3 0.179663654163593 0.366620524596105 0.241819387146075 0.473683049212087 FALSE ""
1400 940 4 0.195558785354819 0.330090133530417 0.260862747098146 0.4480208442868 FALSE ""
600 627 5 0.118912848568384 0.561357568473815 0.30256053280423 0.387695575002707 FALSE ""
1000 584 6 0.261820042038346 0.387745143069976 0.300902613767259 0.44234691534101 FALSE ""
1400 321 7 0.199558486860947 0.378037902331715 0.298084272827629 0.404304676945117 FALSE ""
1400 536 8 0.244637062458016 0.278514275618415 0.24223886105095 0.493927420991905 FALSE ""
1000 806 9 0.197410233552132 0.451581053043431 0.351122728973726 0.327472668603152 FALSE ""
200 957 10 0.24112221783344 0.271444432557668 0.248166236507652 0.474242026214385 FALSE ""
600 770 11 0.2635941647227 0.230955483348136 0.219668526609344 0.499942542744062 FALSE ""
600 596 12 0.253597922023806 0.423452529932149 0.271133268499495 0.483832421641897 FALSE ""
200 255 13 0.144256846752628 0.489400014337205 0.365668414758834 0.355374144394361 FALSE ""
1000 167 14 0.262167832289581 0.397003943896849 0.326432485784223 0.386961591526178 FALSE ""
200 526 15 0.287124303800901 0.338051939353936 0.267761387483937 0.549076261984666 FALSE ""
200 409 16 0.498075318263782 -0.119079952463361 0.290475407607776 0.417634290141395 FALSE ""
600 527 17 0.179155643352115 0.394733630526712 0.310966261668392 0.368201209683837 FALSE ""
600 471 18 0.228834108736365 0.303567395422735 0.334973895187904 0.303574528859912 FALSE ""
200 330 19 0.113996462925677 0.782198805980538 0.310471951127816 0.370659519871931 FALSE ""
200 585 20 0.0477362746978771 0.547260293724011 0.234171611736113 0.611898472644853 FALSE ""
1400 620 21 0.306738603902639 0.245556030859965 0.295885125032362 0.412646096647636 FALSE ""
1000 37 22 0.210630956453332 0.226270167306731 0.298262584714392 0.397049641189897 FALSE ""
1400 903 23 0.176226231147649 0.460477103674584 0.326565602256241 0.334290360725846 FALSE ""
1400 92 24 0.234235948357896 0.319349905909074 0.296108015031397 0.398732606945527 FALSE ""
600 515 25 0.253618172400632 0.450549277035205 0.346214330960261 0.392367045304918 FALSE ""
200 82 26 0.151581642635917 0.427059473358413 0.373719636295321 0.204949429755146 FALSE ""
600 919 27 0.206806374167256 0.460907307309595 0.271173059835803 0.413191245829826 FALSE ""
1400 884 28 0.173598184053134 0.380546067745502 0.296794389572501 0.412626344054137 FALSE ""
1400 868 29 0.200325057762423 0.400620520264797 0.343797481844621 0.319645128789664 FALSE ""
200 24 30 0.545499892987408 -0.199791635574183 0.346032621209192 0.30902535625214 FALSE ""
200 145 31 0.424548838436955 0 0.693147180559945 0 FALSE ""
600 218 32 0.174574694841289 0.386955910147242 0.325043089487081 0.293012911592984 FALSE ""
1400 658 33 0.202901107762018 0.362255292845814 0.285940743403638 0.415663305863701 FALSE ""
200 356 34 -0.0536451820320769 0.900228857439616 0.340589015797771 0.374495082962193 FALSE ""
1000 289 35 0.171255431562919 0.391407134916415 0.276838754302994 0.421113430631173 FALSE ""
600 255 36 0.221562987857013 0.338336627193508 0.274490678540686 0.414886344882562 FALSE ""
600 815 37 0.0547587104605952 0.59237552738408 0.287007432474953 0.418516246458607 FALSE ""
1000 736 38 0.198662000096413 0.435604344070578 0.287909490711851 0.444030850428638 FALSE ""
1000 826 39 0.260459525618522 0.273259678545959 0.337202662394658 0.315790666733939 FALSE ""
1400 731 40 0.192123159880983 0.396047221307811 0.29788105752846 0.379685988185898 FALSE ""
1400 322 41 0.0819435807783431 0.553635812771669 0.323713206983999 0.325388681490602 FALSE ""
1400 179 42 0.23405490630049 0.436246920687352 0.272421802020519 0.471346427451809 FALSE ""
1400 919 43 0.177095867382134 0.462843750950699 0.332250124860695 0.313907964605607 FALSE ""
1400 780 44 0.228674429865598 0.357841731598137 0.281652673453373 0.426159006612041 FALSE ""
600 356 45 0.377753620872605 0.23648137302867 0.38950018464108 0.259564389188607 FALSE ""
600 421 46 0.232332262700208 0.411895484239555 0.327861093251659 0.344287491365944 FALSE ""
200 908 47 0.458121553728764 -0.0112766617974637 0.284644797183935 0.472538234369283 FALSE ""
600 537 48 0.0470802441753178 0.635943273827188 0.303521465710687 0.404060465655258 FALSE ""
1400 842 49 0.108692361519794 0.492919678083139 0.279198935268575 0.379323241855565 FALSE ""
1000 11 50 0.188959735516571 0.403190035050956 0.279330911530977 0.439203950548929 FALSE ""
600 838 51 0.270047700229185 0.235157165776098 0.293580697030093 0.374527838387239 FALSE ""
200 935 52 0.177551184755138 0.678309723665754 0.28401349157713 0.479557381702313 FALSE ""
600 710 53 0.20948290122362 0.546558318287472 0.270256580187731 0.467911436134364 FALSE ""
200 229 54 0.209748854134411 0.315118509504134 0.293010963608241 0.404168591072314 FALSE ""
1400 892 55 0.139323082740287 0.456795573926427 0.278051592899023 0.414911198848694 FALSE ""
1000 214 56 0.23389589884643 0.404807466214804 0.354301714276567 0.285748873068995 FALSE ""
600 701 57 0.115665293345894 0.528688052725172 0.326873698730086 0.317882857007111 FALSE ""
600 586 58 0.264069366722874 0.290061063141799 0.315653540996312 0.395440769831799 FALSE ""
200 881 59 0.217639794346185 0.392465438563423 0.234756369190849 0.51016222849135 FALSE ""
1000 782 60 0.172925549447607 0.485110892446054 0.30909886785092 0.363509157485506 FALSE ""
600 239 61 0.143833832431954 0.621858167650774 0.364182397973535 0.297730465566779 FALSE ""
1000 835 62 0.322555880640132 0.113952566094059 0.288787442327239 0.370019698744823 FALSE ""
600 797 63 0.332591880110758 0.20239154292863 0.335410764547143 0.377874978240371 FALSE ""
1000 907 64 0.198887593243592 0.260849834037055 0.260949165614221 0.414489366476435 FALSE ""
200 473 65 0.114189973668046 0.390603161729859 0.261745658038722 0.491299847503653 FALSE ""
1000 70 66 0.21766626276091 0.354905425504512 0.290636194163566 0.478362105027631 FALSE ""
1000 221 67 0.141615387382627 0.480792982107833 0.278795633178667 0.436343637585203 FALSE ""
600 371 68 0.107637530446733 0.673317354862438 0.263055935988804 0.431240028019168 FALSE ""
1000 115 69 0.254746537394518 0.325705868106142 0.249999242978089 0.488226287544082 FALSE ""
600 79 70 0.253304549327769 0.503783898879912 0.252305665934882 0.506550941058876 FALSE ""
600 163 71 0.126851238166025 0.463608029934108 0.287241083616316 0.400402275145264 FALSE ""
200 423 72 -0.000380292949153125 0.491821697443371 0.281891292271546 0.343919868438125 FALSE ""
200 596 73 0.0551490031674501 0.519537830561469 0.284334702837011 0.32421236884514 FALSE ""
1000 538 74 0.245349190031462 0.407818769797629 0.251529700482608 0.478920042192405 FALSE ""
200 219 75 0.324196502654749 0.166772688300487 0.32434696101102 0.35686253372551 FALSE ""
1000 367 76 0.239691928704598 0.344541306554416 0.254080021443231 0.519391461915283 FALSE ""
600 726 77 0.12140676277228 0.507291928707757 0.290239175069419 0.449241354570542 FALSE ""
200 385 78 0.15707342843351 0.439311837541251 0.37156665434182 0.255227583325449 FALSE ""
600 667 79 0.164636107601954 0.485110020472854 0.296917232799903 0.389418270184732 FALSE ""
200 587 80 0.0885760820213675 0.650446346397469 0.327554095996107 0.288529019294865 FALSE ""
600 734 81 0.229415695353925 0.329162750987439 0.2409224816114 0.474680631335995 FALSE ""
1400 538 82 0.258330107261898 0.270951786283704 0.291345529157473 0.423390821933184 FALSE ""
1000 608 83 0.249851602337055 0.346282479616385 0.294907067505801 0.435148854394965 FALSE ""
1000 552 84 0.152622046012054 0.606989708069707 0.360612396570529 0.311165925958811 FALSE ""
600 286 85 0.146436179346208 0.522486298770085 0.299266594029188 0.367666968634578 FALSE ""
1000 381 86 0.227530066988121 0.37172986426859 0.290589326555533 0.440891936873961 FALSE ""
1400 469 87 0.253847140540744 0.314601930366609 0.295823456819248 0.387221034615322 FALSE ""
1400 1 88 0.297671840576759 0.377397888353726 0.322771651138421 0.386514110858926 FALSE ""
1000 513 89 0.289426621887541 0.197025150135876 0.321681917655985 0.359931426739062 FALSE ""
200 168 90 0.119561645484159 0.508113901146776 0.306499435357249 0.503411024020813 FALSE ""
1000 590 91 0.19972585846495 0.418559158524317 0.284441141847189 0.393994726157168 FALSE ""
600 476 92 0.232378761465545 0.41993799595862 0.287614380356559 0.501375241623995 FALSE ""
600 111 93 0.258472251483628 0.319375354790219 0.309205378853771 0.360876142168348 FALSE ""
200 639 94 0.250822617704604 0.45772516781129 0.227210147826466 0.608839895040572 FALSE ""
200 5 95 0.280826773693788 0.26936039553522 0.229652405380518 0.630021825528867 FALSE ""
600 828 96 0.051348122263524 0.669993494024062 0.26019210489996 0.478398592716083 FALSE ""
600 120 97 0.182975171433543 0.560614402905393 0.36778950790066 0.301012981564775 FALSE ""
1000 394 98 0.229329368183597 0.397164476133753 0.290579670124387 0.483451421120713 FALSE ""
1400 636 99 0.32042461635298 0.261113328610689 0.292415624345631 0.43450760540178 FALSE ""
200 412 100 0.4295565715135 0.105645532765369 0.310698745567306 0.454136820217668 FALSE ""
1400 682 101 0.122384487328016 0.473217164556911 0.295980209659982 0.416167755753451 FALSE ""
1000 635 102 0.141784683612076 0.398099575101467 0.269477415889942 0.392324566530107 FALSE ""
1400 643 103 0.221312399202961 0.397577695183169 0.263908330518708 0.454031349173467 FALSE ""
1400 57 104 0.302927448927393 0.236609051434354 0.294595655025302 0.416961635451706 FALSE ""
1400 717 105 0.170569461817636 0.483076402614064 0.274595744059249 0.447278437797711 FALSE ""
600 620 106 0.216993329397134 0.35146536077088 0.303187438609974 0.384113248682241 FALSE ""
600 864 107 0.233424001742273 0.428187556644491 0.331685197831409 0.418714471103875 FALSE ""
600 406 108 0.257948739455719 0.407271707812198 0.321216508975787 0.376342184996073 FALSE ""
1000 783 109 0.173175556548875 0.393507055148394 0.282239961637498 0.410869429400214 FALSE ""
200 890 110 -0.00337300984515465 0.704098722367287 0.377103575493762 0.242336780411672 FALSE ""
1400 909 111 0.223509744325165 0.40587295187748 0.323344680499804 0.379055488452387 FALSE ""
600 568 112 0.390187031833511 0.0103655704688196 0.276877382247227 0.38757030762983 FALSE ""
600 808 113 0.195927371060835 0.447560066469283 0.250082389979768 0.488372150538508 FALSE ""
1400 855 114 0.131485188563053 0.53424685035927 0.315866644419572 0.355967200473327 FALSE ""
600 690 115 0.337201852463134 0.207335507215655 0.297056443112535 0.418897575050135 FALSE ""
600 942 116 0.273412709937118 0.340458833400743 0.319063275296213 0.377502560443627 FALSE ""
200 340 117 0.202297656952325 0.245585285861786 0.242782576438154 0.409088212198963 FALSE ""
600 404 118 0.252466109031758 0.510321804174622 0.280739803467693 0.473399051248935 FALSE ""
600 950 119 0.248752271015787 0.0741427340354148 0.253253035325363 0.390566401793708 FALSE ""
1000 634 120 0.202361414602516 0.341205818482762 0.304793319427492 0.377849954980696 FALSE ""
600 114 121 0.224004834468206 0.271763478351077 0.345124645197531 0.317869659791509 FALSE ""
1000 140 122 0.215981430258796 0.371662558509534 0.288067896326897 0.428002285586516 FALSE ""
200 769 123 0.296665319081426 0.169974650726646 0.377710011092012 0.238405554516541 FALSE ""
1400 366 124 0.249076899995914 0.393942107932484 0.307018255665513 0.316811984586772 FALSE ""
200 531 125 0.350641303656399 0.238999302203498 0.353946448614018 0.27389556992887 FALSE ""
1400 723 126 0.237308307105212 0.352685240315586 0.27297676894571 0.440760232430628 FALSE ""
