"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
600 1.2 1.2 860 1 1.19611696533033 1.20022293056861 FALSE ""
200 1.2 1.2 182 2 1.28104823302552 1.16435087781693 FALSE ""
200 1.2 1.2 684 3 0.993188201875488 1.00685851695746 FALSE ""
200 1.6 0.8 570 4 1.60561969950705 0.820984098711364 FALSE ""
1400 1.2 0.8 42 5 1.18811090586212 0.765812496706494 FALSE ""
1400 1.2 0.8 758 6 1.19766639327327 0.788429591870505 FALSE ""
1000 1.6 1.2 746 7 1.16426381742606 0.85891185917878 FALSE ""
1000 1.6 0.8 85 8 1.57091026069657 0.800065628878684 FALSE ""
200 1.2 0.8 613 9 1.13956126648111 0.777130374963053 FALSE ""
1000 1.6 0.8 791 10 1.62153902599802 0.79199529154635 FALSE ""
1000 1.2 1.2 720 11 1.17176881394704 1.17866826947085 FALSE ""
1000 1.2 0.8 319 12 1.2128047139833 0.816140511077537 FALSE ""
200 1.2 0.8 834 13 1.20094123818615 0.730225223586464 FALSE ""
200 1.2 1.2 507 14 1.09349661410162 1.11732742392433 FALSE ""
1400 1.6 1.2 760 15 1.15952042135341 0.862425517985084 FALSE ""
600 1.2 0.8 650 16 1.21093079558247 0.790052566587957 FALSE ""
200 1.2 0.8 275 17 1.21265022820554 0.853821245090126 FALSE ""
600 1.6 0.8 733 18 1.60565038344818 0.806729796893251 FALSE ""
1000 1.2 1.2 242 19 1.18919590807209 1.23010842675018 FALSE ""
1000 1.2 0.8 143 20 1.20728929269239 0.795998691091167 FALSE ""
200 1.2 1.2 511 21 1.32381318891286 1.3119217449152 FALSE ""
1400 1.2 0.8 852 22 1.17659526694937 0.809350568299557 FALSE ""
1000 1.2 1.2 520 23 1.22655957208042 1.24168733592837 FALSE ""
600 1.6 0.8 258 24 1.65869103533409 0.823654855581509 FALSE ""
200 1.2 0.8 6 25 1.13805618378239 0.715916012740848 FALSE ""
1400 1.6 1.2 873 26 1.14548802424797 0.872990357674422 FALSE ""
