"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
200 932 1 0.50069309214066 0.169737227029219 0.0688624911603588 0.862385255051746 FALSE ""
1000 946 2 0.492872226808384 0.451105623251365 0.115763151389819 0.764052796867433 FALSE ""
1400 585 3 0.495903137971445 0.462168651632322 0.213332021071229 0.491527540807937 FALSE ""
1000 965 4 0.460942953119411 0.428842692930246 0.286267202082815 0.551970380459862 FALSE ""
600 900 5 0.362339860186203 0.395791590305687 0.146864247020958 0.806076183085049 FALSE ""
200 189 6 0.642463524228978 0 -0.693147180559945 0 FALSE ""
200 320 7 0.756910334840278 0 -0.693147180559945 0 FALSE ""
1400 16 8 0.724446873727825 0 -0.693147180559945 0 FALSE ""
1000 904 9 0.548213055889672 0.294807676160158 0.215644238980639 0.553144520985973 FALSE ""
1400 657 10 0.682614341265893 0 -0.693147180559945 0 FALSE ""
200 886 11 0.540422399753631 0 -0.693147180559945 0 FALSE ""
200 556 12 0.565347605508684 0 -0.693147180559945 0 FALSE ""
1400 488 13 0.512969374923309 0.27630253287565 0.148509649346681 0.712002808424093 FALSE ""
600 839 14 0.470990843646817 0.384911503662466 0.18053747900832 0.645608617646185 FALSE ""
600 628 15 0.465436962445491 0.395689677501446 0.271233727525753 0.518066872458294 FALSE ""
200 775 16 0.542605772765805 0.353551963575101 -0.0590089420814221 1.20524819943344 FALSE ""
600 905 17 0.694478934777795 0 -0.693147180559945 0 FALSE ""
1000 596 18 0.697916174689659 0 -0.693147180559945 0 FALSE ""
600 498 19 0.331837514171268 0.739851279500567 0.143741724418068 0.832253078442466 FALSE ""
600 922 20 0.514418881316426 0.419404282494516 0.104014053721537 0.759897958917109 FALSE ""
1400 937 21 0.523705859390488 0.38776372002915 0.302184989363168 0.440625926670817 FALSE ""
1400 185 22 0.416312957867231 0.4321019317328 0.137779595267751 0.832643618291908 FALSE ""
