"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
1000 1.5 2.2 812 1 1.39860337398727 2.14901145999378 FALSE ""
1000 1.5 1.4 560 2 1.4316527059955 1.39719217677898 FALSE ""
1000 1.5 2.2 558 3 1.61036580917335 2.16440903779546 FALSE ""
1000 3 2.2 529 4 2.49611864926979 2.05380955526704 FALSE ""
200 1.5 1.4 329 5 1.88550345262415 1.49615690426788 FALSE ""
1400 1.5 2.2 159 6 1.58447839571943 2.25483548686705 FALSE ""
1000 3 2.2 426 7 3.2483467178946 2.21196804939179 FALSE ""
1000 3 1.4 568 8 3.28509384853503 1.41634166224623 FALSE ""
200 1.5 2.2 416 9 1.75474428913097 2.36075633635253 FALSE ""
1000 1.5 2.2 479 10 1.55304401033245 2.18889496561767 FALSE ""
200 3 1.4 809 11 4.12840932630224 1.46090165007095 FALSE ""
200 3 1.4 600 12 3.65777777564306 1.40784302231701 FALSE ""
200 3 2.2 827 13 3.51310537883061 2.22609238846862 FALSE ""
600 1.5 1.4 959 14 1.36887802671851 1.37426630155471 FALSE ""
1400 1.5 2.2 559 15 1.53606572448937 2.25255959599271 FALSE ""
1000 1.5 2.2 391 16 1.7439510125447 2.25273792211938 FALSE ""
600 1.5 1.4 145 17 1.37375917161655 1.38172430054468 FALSE ""
200 3 2.2 294 18 2.37796963140881 2.15501976587452 FALSE ""
600 3 2.2 685 19 2.7173360318002 2.1378384014962 FALSE ""
1400 3 2.2 295 20 3.26137610935492 2.22091502004683 FALSE ""
600 1.5 2.2 792 21 1.28860446502711 2.11731102575944 FALSE ""
200 1.5 2.2 389 22 1.51358974651306 2.20033433960109 FALSE ""
200 1.5 1.4 951 23 1.77311106592501 1.41911692983389 FALSE ""
200 3 1.4 947 24 3.55354734897144 1.46668953105647 FALSE ""
200 3 2.2 658 25 2.90901532728339 2.17935090383078 FALSE ""
200 1.5 2.2 556 26 1.63113426287114 2.17264240565579 FALSE ""
600 3 2.2 958 27 3.02148013995629 2.23700778359245 FALSE ""
1400 3 1.4 911 28 3.37507737493445 1.41726709034138 FALSE ""
600 3 2.2 107 29 2.76467700135151 2.22342097055287 FALSE ""
200 3 2.2 910 30 2.67678786279392 2.11633504811412 FALSE ""
200 3 2.2 271 31 2.47872684835369 2.05156282134489 FALSE ""
1400 1.5 1.4 639 32 1.49410919244184 1.40106225686027 FALSE ""
1400 3 1.4 746 33 3.30750583078684 1.41716824856328 FALSE ""
1400 1.5 1.4 511 34 1.52932705743507 1.4053284348125 FALSE ""
200 3 2.2 284 35 3.43424321307151 2.39371194498279 FALSE ""
1400 3 1.4 690 36 3.25264734776522 1.41099022863144 FALSE ""
1000 1.5 1.4 173 37 1.50001844661989 1.38085127619768 FALSE ""
1400 3 1.4 558 38 2.84074284571633 1.39042590955335 FALSE ""
1000 3 1.4 361 39 3.10442621785453 1.41601720647891 FALSE ""
600 3 2.2 864 40 3.10389313199221 2.17866984806561 FALSE ""
1400 1.5 2.2 243 41 1.37884677557204 2.11601712476375 FALSE ""
200 1.5 1.4 323 42 1.62448798938977 1.43857060451702 FALSE ""
600 3 2.2 5 43 2.72310290549854 2.12372026366239 FALSE ""
1000 3 1.4 23 44 2.75660150746778 1.36951647052688 FALSE ""
200 3 1.4 982 45 2.60422718989582 1.37337366521688 FALSE ""
1400 3 1.4 70 46 3.13186702988243 1.40894434886566 FALSE ""
600 3 1.4 853 47 2.95017587558337 1.40009099269057 FALSE ""
1400 1.5 1.4 133 48 1.66562196064668 1.41271333918405 FALSE ""
200 3 2.2 862 49 2.9397568330385 2.27008349499878 FALSE ""
600 3 1.4 632 50 3.07082443530794 1.42123213037521 FALSE ""
1400 1.5 2.2 45 51 1.4628881764924 2.19566527670625 FALSE ""
200 3 2.2 503 52 3.23589354614219 2.34454554891592 FALSE ""
1000 1.5 2.2 829 53 1.48342273197053 2.17077995640587 FALSE ""
600 1.5 1.4 790 54 1.72700788790681 1.42688455530818 FALSE ""
1400 1.5 1.4 16 55 1.5511045439052 1.42004010024901 FALSE ""
200 3 2.2 229 56 3.73049543419262 2.23812319554299 FALSE ""
200 3 1.4 305 57 2.36094568506626 1.33818472657649 FALSE ""
1000 3 1.4 725 58 3.21889677854331 1.41185211079482 FALSE ""
600 3 2.2 293 59 3.22047228003187 2.21482174302552 FALSE ""
1000 1.5 1.4 919 60 1.65130267526554 1.41780652730888 FALSE ""
