"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
1400 0.95 1.5 748 1 0.939980457782386 1.46647469988978 FALSE ""
200 0.95 10 66 2 0.965339749799311 12.7949592584931 FALSE ""
600 1.5 10 682 3 1.48357348364261 9.50415338528739 FALSE ""
600 1.5 10 794 4 1.49718714221674 10.0369768860468 FALSE ""
1000 1.5 1.5 288 5 1.5579360021259 1.7919297738798 FALSE ""
600 0.95 10 462 6 0.951685575225779 9.30556287866051 FALSE ""
200 0.95 1.5 175 7 0.934779396489342 1.3197792365601 FALSE ""
200 0.95 1.5 595 8 0.979360446245375 1.44970838228341 FALSE ""
200 1.5 10 959 9 1.49203429458092 10.4453125424454 FALSE ""
200 1.5 10 849 10 1.5182095306927 8.63589465823101 FALSE ""
1400 1.5 1.5 439 11 1.52059838142182 1.56288209136609 FALSE ""
1400 0.95 1.5 915 12 0.947757847558598 1.41189470654386 FALSE ""
600 0.95 10 90 13 0.943764199027182 9.84498923017182 FALSE ""
1000 1.5 1.5 284 14 1.50996014774498 1.59681485778255 FALSE ""
1400 1.5 10 454 15 1.49476806669249 9.62694024472375 FALSE ""
1000 0.95 1.5 969 16 0.957554352836606 1.50785442820371 FALSE ""
1400 1.5 10 267 17 1.50394591928594 9.95309163851029 FALSE ""
600 0.95 1.5 155 18 0.961507242617825 1.44660789896937 FALSE ""
200 1.5 10 332 19 1.50882449991701 11.7568869746513 FALSE ""
1400 1.5 10 520 20 1.49525072203301 9.36963509790301 FALSE ""
600 0.95 1.5 978 21 0.947984222668067 1.50279561763891 FALSE ""
1400 1.5 1.5 450 22 1.51270941668673 1.45585974784956 FALSE ""
1400 0.95 1.5 225 23 0.94974358872305 1.49445579403033 FALSE ""
200 0.95 1.5 813 24 1.01006535090297 1.81798330984768 FALSE ""
200 1.5 1.5 911 25 1.51754925347844 1.50516343613709 FALSE ""
200 1.5 10 962 26 1.46900737449895 9.02061533289474 FALSE ""
1000 1.5 10 263 27 1.4855107557754 9.71506628875141 FALSE ""
200 1.5 10 84 28 1.50242707185422 11.5262277442159 FALSE ""
1000 0.95 1.5 70 29 0.953119292539082 1.62337512587971 FALSE ""
600 0.95 1.5 750 30 0.954957859629223 1.73249759424339 FALSE ""
